Время	Канал A	A * B
(mс)	(В)	(?)

1.80260387	0.24439220	-0.09667690
1.80324387	0.24439220	-0.08806981
1.80388387	0.24439220	-0.08530923
1.80452387	0.26239820	-0.07084817
1.80516387	0.24439220	-0.06224107
1.80580387	0.24439220	-0.05147847
1.80644387	0.24439220	-0.04371567
1.80708387	0.26239820	-0.02984582
1.80772387	0.26239820	-0.01829027
1.80836387	0.26239820	-0.00673473
1.80900387	0.26239820	0.00664551
1.80964387	0.24439220	0.01868267
1.81028387	0.26239820	0.03255252
1.81092387	0.26239820	0.04410807
1.81156387	0.26239820	0.05566361
1.81220387	0.26239820	0.06721915
1.81284387	0.26239820	0.07646038
1.81348387	0.26239820	0.08570962
1.81412387	0.26239820	0.10146640
1.81476387	0.28040410	0.10887730
1.81540387	0.28040410	0.11628810
1.81604387	0.28040410	0.12369890
1.81668387	0.28040410	0.12863660
1.81732387	0.28040410	0.13110110
1.81796387	0.28040410	0.13357420
1.81860387	0.28040410	0.13604740
1.81924387	0.28040410	0.13604740
1.81988387	0.28040410	0.13110110
1.82052387	0.28040410	0.12863660
1.82116387	0.28040410	0.12616340
1.82180387	0.28040410	0.11875260
1.82244387	0.28040410	0.11134180
1.82308387	0.28040410	0.10393960
1.82372387	0.28040410	0.09405563
1.82436387	0.28040410	0.08960415
1.82500387	0.29847100	0.07908339
1.82564387	0.29847100	0.06593926
1.82628387	0.29847100	0.05279513
1.82692387	0.29847100	0.03965100
1.82756387	0.29847100	0.02388351
1.82820387	0.29847100	0.01073938
1.82884387	0.29847100	-0.00240475
1.82948387	0.29847100	-0.01817224
1.83012387	0.29847100	-0.03131637
1.83076387	0.29847100	-0.04709297
1.83140387	0.29847100	-0.06023709
1.83204387	0.29847100	-0.07338123
1.83268387	0.29847100	-0.08389289
1.83332387	0.29847100	-0.10289100
1.83396387	0.31647690	-0.11404640
1.83460387	0.31647690	-0.12241060
1.83524387	0.31647690	-0.13077480
1.83588387	0.31647690	-0.13912930
1.83652387	0.31647690	-0.14471190
1.83716387	0.31647690	-0.14749350
1.83780387	0.31647690	-0.15306640
1.83844387	0.31647690	-0.15306640
1.83908387	0.31647690	-0.15306640
1.83972387	0.31647690	-0.15028480
1.84036387	0.31647690	-0.15591360
1.84100387	0.33454390	-0.14192060
1.84164387	0.31647690	-0.13634770
1.84228387	0.31647690	-0.13077480
1.84292387	0.31647690	-0.12644810
1.84356387	0.33454390	-0.11760650
1.84420387	0.33454390	-0.10287380
1.84484387	0.33454390	-0.08617229
1.84548387	0.31647690	-0.07635895
1.84612387	0.33454390	-0.06162624
1.84676387	0.33454390	-0.04689353
1.84740387	0.33454390	-0.03216081
1.84804387	0.33454390	-0.01447747
1.84868387	0.33454390	0.00025524
1.84932387	0.33454390	0.01578389
1.84996387	0.35254980	0.03441899
1.85060387	0.35254980	0.04994465
1.85124387	0.35254980	0.06856898
1.85188387	0.35254980	0.08410541
1.85252387	0.35254980	0.10146800
1.85316387	0.37061680	0.11204730
1.85380387	0.35254980	0.12446350
1.85444387	0.35254980	0.13378110
1.85508387	0.35254980	0.15043190
1.85572387	0.37061680	0.14930670
1.85636387	0.35254980	0.17002200
1.85700387	0.37061680	0.17327950
1.85764387	0.37061680	0.16794180
1.85828387	0.35254980	0.17981710
1.85892387	0.37061680	0.17981710
1.85956387	0.37061680	0.18512560
1.86020387	0.38862270	0.17327950
1.86084387	0.37061680	0.17828230
1.86148387	0.38862270	0.17143900
1.86212387	0.38862270	0.16116810
1.86276387	0.38862270	0.15089710
1.86340387	0.38862270	0.13719860
1.86404387	0.38862270	0.12351200
1.86468387	0.38862270	0.10982530
1.86532387	0.38862270	0.09271108
1.86596387	0.38862270	0.07558496
1.86660387	0.38862270	0.05847071
1.86724387	0.38862270	0.04135647
1.86788387	0.38862270	0.02424222
1.86852387	0.38862270	0.00372410
1.86916387	0.38862270	-0.01759695
1.86980387	0.40662860	-0.03550415
1.87044387	0.40662860	-0.05341135
1.87108387	0.40662860	-0.07490494
1.87172387	0.40662860	-0.09281214
1.87236387	0.40662860	-0.10713290
1.87300387	0.40662860	-0.12504010
1.87364387	0.40662860	-0.14556590
1.87428387	0.42469560	-0.16052290
1.87492387	0.42469560	-0.17174720
1.87556387	0.42469560	-0.18297150
1.87620387	0.42469560	-0.19045010
1.87684387	0.42469560	-0.20632020
1.87748387	0.44270150	-0.20167430
1.87812387	0.42469560	-0.20540710
1.87876387	0.42469560	-0.21411580
1.87940387	0.44270150	-0.21411580
1.88004387	0.44270150	-0.21022480
1.88068387	0.44270150	-0.20632020
1.88132387	0.44270150	-0.19852460
1.88196387	0.44270150	-0.19444890
1.88260387	0.46076850	-0.17512430
1.88324387	0.44270150	-0.16604370
1.88388387	0.46076850	-0.15386600
1.88452387	0.46076850	-0.13357460
1.88516387	0.46076850	-0.11734710
1.88580387	0.46076850	-0.09705569
1.88644387	0.46076850	-0.07676428
1.88708387	0.46076850	-0.05240895
1.88772387	0.46076850	-0.03211753
1.88836387	0.46076850	-0.01182611
1.88900387	0.46076850	0.01252921
1.88964387	0.46076850	0.03687048
1.89028387	0.46076850	0.05939567
1.89092387	0.47877440	0.08468813
1.89156387	0.47877440	0.10156440
1.89220387	0.47877440	0.12264880
1.89284387	0.47877440	0.13951040
1.89348387	0.47877440	0.15638670
1.89412387	0.47877440	0.17324830
1.89476387	0.47877440	0.19725970
1.89540387	0.49678030	0.21038910
1.89604387	0.49678030	0.21915220
1.89668387	0.49678030	0.22790010
1.89732387	0.49678030	0.23664800
1.89796387	0.49678030	0.23664800
1.89860387	0.49678030	0.24979530
1.89924387	0.51484730	0.24525440
1.89988387	0.51484730	0.24071350
1.90052387	0.51484730	0.24071350
1.90116387	0.51484730	0.23164750
1.90180387	0.51484730	0.22566620
1.90244387	0.53285320	0.21158340
1.90308387	0.53285320	0.19751690
1.90372387	0.53285320	0.17873440
1.90436387	0.53285320	0.15996820
1.90500387	0.53285320	0.14118570
1.90564387	0.53285320	0.11771980
1.90628387	0.53285320	0.09425388
1.90692387	0.53285320	0.07078799
1.90756387	0.53285320	0.04263866
1.90820387	0.53285320	0.01982284
1.90884387	0.55092010	-0.00928092
1.90948387	0.55092010	-0.03354246
1.91012387	0.55092010	-0.06471106
1.91076387	0.56892600	-0.08976554
1.91140387	0.56892600	-0.11482000
1.91204387	0.56892600	-0.13987450
1.91268387	0.56892600	-0.15991120
1.91332387	0.56892600	-0.18496560
1.91396387	0.56892600	-0.21153030
1.91460387	0.58699300	-0.23220320
1.91524387	0.58699300	-0.24255760
1.91588387	0.58699300	-0.25805340
1.91652387	0.58699300	-0.26840770
1.91716387	0.58699300	-0.27874420
1.91780387	0.58699300	-0.28390350
1.91844387	0.58699300	-0.29261220
1.91908387	0.60499890	-0.29261220
1.91972387	0.60499890	-0.27874420
1.92036387	0.58699300	-0.28195860
1.92100387	0.60499890	-0.27664110
1.92164387	0.60499890	-0.26065160
1.92228387	0.60499890	-0.24999800
1.92292387	0.60499890	-0.22867250
1.92356387	0.60499890	-0.21268300
1.92420387	0.60499890	-0.19157680
1.92484387	0.62300490	-0.16963560
1.92548387	0.62300490	-0.14219960
1.92612387	0.62300490	-0.11476360
1.92676387	0.62300490	-0.08732753
1.92740387	0.62300490	-0.05989152
1.92804387	0.62300490	-0.02774254
1.92868387	0.64107180	0.00614327
1.92932387	0.64107180	0.02870120
1.92996387	0.64107180	0.06258702
1.93060387	0.64107180	0.09645326
1.93124387	0.64107180	0.12239410
1.93188387	0.65907770	0.14728200
1.93252387	0.64107180	0.18044330
1.93316387	0.65907770	0.20365490
1.93380387	0.65907770	0.23905790
1.93444387	0.67714470	0.25009830
1.93508387	0.65907770	0.28082280
1.93572387	0.67714470	0.29274670
1.93636387	0.67714470	0.30467070
1.93700387	0.67714470	0.31659470
1.93764387	0.67714470	0.32256700
1.93828387	0.67714470	0.32853930
1.93892387	0.67714470	0.32853930
1.93956387	0.67714470	0.33114430
1.94020387	0.69515060	0.31659470
1.94084387	0.67714470	0.31064300
1.94148387	0.67714470	0.30053110
1.94212387	0.69515060	0.28829010
