Время	Канал A	A * B
(mс)	(В)	(?)

1.74904387	0.20218510	0.08740973
1.74968387	0.20218510	0.09097004
1.75032387	0.20218510	0.09275328
1.75096387	0.20218510	0.09631360
1.75160387	0.20218510	0.09809684
1.75224387	0.20218510	0.09809684
1.75288387	0.20218510	0.09809684
1.75352387	0.20218510	0.09631360
1.75416387	0.20218510	0.09275328
1.75480387	0.20218510	0.07078499
1.75544387	0.15732290	0.08562648
1.75608387	0.20218510	0.08028293
1.75672387	0.20218510	0.07494554
1.75736387	0.20218510	0.06604166
1.75800387	0.20218510	0.06069811
1.75864387	0.20218510	0.05179424
1.75928387	0.20218510	0.04289037
1.75992387	0.20218510	0.03398650
1.76056387	0.20218510	0.02508263
1.76120387	0.20218510	0.01120134
1.76184387	0.15732290	0.00549782
1.76248387	0.20218510	-0.00340606
1.76312387	0.20218510	-0.01409317
1.76376387	0.20218510	-0.02299704
1.76440387	0.20218510	-0.02621008
1.76504387	0.15732290	-0.04258802
1.76568387	0.20218510	-0.04970865
1.76632387	0.20218510	-0.05861252
1.76696387	0.20218510	-0.06573315
1.76760387	0.20218510	-0.07285995
1.76824387	0.20218510	-0.07998057
1.76888387	0.20218510	-0.08532413
1.76952387	0.20218510	-0.08888445
1.77016387	0.20218510	-0.09245093
1.77080387	0.20218510	-0.09601124
1.77144387	0.20218510	-0.07609038
1.77208387	0.15732290	-0.09778832
1.77272387	0.20218510	-0.09778832
1.77336387	0.20218510	-0.09601124
1.77400387	0.20218510	-0.09422801
1.77464387	0.20218510	-0.09066769
1.77528387	0.20218510	-0.08710738
1.77592387	0.20218510	-0.08176382
1.77656387	0.20218510	-0.07642026
1.77720387	0.20218510	-0.06929964
1.77784387	0.20218510	-0.06217284
1.77848387	0.20218510	-0.05326897
1.77912387	0.20218510	-0.04436509
1.77976387	0.20218510	-0.03724447
1.78040387	0.20218510	-0.02834059
1.78104387	0.20218510	-0.01765348
1.78168387	0.20218510	-0.00874961
1.78232387	0.20218510	0.00193750
1.78296387	0.20218510	0.01083520
1.78360387	0.20218510	0.01973907
1.78424387	0.20218510	0.03042001
1.78488387	0.20218510	0.03932388
1.78552387	0.20218510	0.04823393
1.78616387	0.20218510	0.05713779
1.78680387	0.20218510	0.06425843
1.78744387	0.20218510	0.07137906
1.78808387	0.20218510	0.07850586
1.78872387	0.20218510	0.08384942
1.78936387	0.20218510	0.08740973
1.79000387	0.20218510	0.09275328
1.79064387	0.20218510	0.09453036
1.79128387	0.20218510	0.09631360
1.79192387	0.20218510	0.09809684
1.79256387	0.20218510	0.09809684
1.79320387	0.20218510	0.09809684
1.79384387	0.20218510	0.09453036
1.79448387	0.20218510	0.09097004
1.79512387	0.20218510	0.08740973
1.79576387	0.20218510	0.08206617
1.79640387	0.20218510	0.05969888
1.79704387	0.15732290	0.07137906
1.79768387	0.20218510	0.06425843
1.79832387	0.20218510	0.05713779
1.79896387	0.20218510	0.04823393
1.79960387	0.20218510	0.03932388
1.80024387	0.20218510	0.02864294
1.80088387	0.20218510	0.01973907
1.80152387	0.20218510	0.01083520
1.80216387	0.20218510	0.00193750
1.80280387	0.20218510	-0.00874961
1.80344387	0.20218510	-0.01943672
1.80408387	0.20218510	-0.02834059
1.80472387	0.20218510	-0.03902154
