Время	A * B
(mс)	(?)

-0.83249164	0.02420352
-0.83217164	0.02469686
-0.83185164	0.02494395
-0.83153164	0.02543729
-0.83121164	0.02543729
-0.83089164	0.02568353
-0.83057164	0.00926498
-0.83025164	0.02593063
-0.82993164	0.02568353
-0.82961164	0.02593063
-0.82929164	0.02568353
-0.82897164	0.02543729
-0.82865164	0.02519020
-0.82833164	0.02494395
-0.82801164	0.02469686
-0.82769164	0.02420352
-0.82737164	0.02371018
-0.82705164	0.00820706
-0.82673164	0.02247641
-0.82641164	0.02198221
-0.82609164	0.02124178
-0.82577164	0.02025510
-0.82545164	0.01951467
-0.82513164	0.01877423
-0.82481164	0.01778755
-0.82449164	0.01704712
-0.82417164	0.01581334
-0.82385164	0.01482666
-0.82353164	0.01383913
-0.82321164	0.01285245
-0.82289164	0.01186492
-0.82257164	0.01063115
-0.82225164	0.00939737
-0.82193164	0.00816360
-0.82161164	0.00692983
-0.82129164	0.00594315
-0.82097164	0.00470938
-0.82065164	0.00347560
-0.82033164	0.00224183
-0.82001164	0.00100805
-0.81969164	-0.00008065
-0.81937164	-0.00145950
-0.81905164	-0.00269327
-0.81873164	-0.00367995
-0.81841164	-0.00491372
-0.81809164	-0.00614750
-0.81777164	-0.00738127
-0.81745164	-0.00861504
-0.81713164	-0.00960258
-0.81681164	-0.01058925
-0.81649164	-0.01182303
-0.81617164	-0.00448891
-0.81585164	-0.01355014
-0.81553164	-0.01453767
-0.81521164	-0.01552435
-0.81489164	-0.01626479
-0.81457164	-0.01700522
-0.81425164	-0.01774566
-0.81393164	-0.00660505
-0.81361164	-0.01922567
-0.81329164	-0.01971987
-0.81297164	-0.02021320
-0.81265164	-0.02070654
-0.81233164	-0.02119988
-0.81201164	-0.02144698
-0.81169164	-0.02194032
-0.81137164	-0.02218741
-0.81105164	-0.02243366
-0.81073164	-0.02243366
-0.81041164	-0.00810380
-0.81009164	-0.02268075
-0.80977164	-0.02243366
-0.80945164	-0.00801551
-0.80913164	-0.02218741
-0.80881164	-0.02194032
-0.80849164	-0.02169407
-0.80817164	-0.02144698
-0.80785164	-0.02095364
-0.80753164	-0.02046030
-0.80721164	-0.01996611
-0.80689164	-0.01922567
-0.80657164	-0.01873233
-0.80625164	-0.01799190
-0.80593164	-0.01749856
-0.80561164	-0.01651188
-0.80529164	-0.01577145
-0.80497164	-0.01503101
-0.80465164	-0.01404433
-0.80433164	-0.01305680
-0.80401164	-0.01207012
-0.80369164	-0.01108259
-0.80337164	-0.00351897
-0.80305164	-0.00886214
-0.80273164	-0.00787461
-0.80241164	-0.00664083
-0.80209164	-0.00540706
-0.80177164	-0.00417329
-0.80145164	-0.00318661
-0.80113164	-0.00195284
-0.80081164	-0.00071906
-0.80049164	0.00051471
-0.80017164	0.00174763
-0.79985164	0.00273517
-0.79953164	0.00421518
-0.79921164	0.00520271
-0.79889164	0.00643649
-0.79857164	0.00767026
-0.79825164	0.00890404
-0.79793164	0.00989071
-0.79761164	0.01112449
-0.79729164	0.01235912
-0.79697164	0.01334579
-0.79665164	0.01457957
-0.79633164	0.01556624
-0.79601164	0.01655378
-0.79569164	0.01754045
-0.79537164	0.01828089
-0.79505164	0.01926842
-0.79473164	0.02000800
-0.79441164	0.02074844
-0.79409164	0.02148887
-0.79377164	0.02198221
-0.79345164	0.02272265
-0.79313164	0.02321598
-0.79281164	0.02371018
-0.79249164	0.02444976
-0.79217164	0.02469686
-0.79185164	0.00891244
-0.79153164	0.00908871
-0.79121164	0.00917669
-0.79089164	0.00917669
-0.79057164	0.02593063
-0.79025164	0.02593063
-0.78993164	0.00926498
-0.78961164	0.02568353
-0.78929164	0.02568353
-0.78897164	0.02543729
-0.78865164	0.02519020
-0.78833164	0.02469686
-0.78801164	0.02444976
-0.78769164	0.02420352
-0.78737164	0.02371018
-0.78705164	0.02321598
-0.78673164	0.02247641
-0.78641164	0.02198221
-0.78609164	0.02099553
-0.78577164	0.00723712
-0.78545164	0.01951467
-0.78513164	0.01852799
-0.78481164	0.01778755
-0.78449164	0.01680087
-0.78417164	0.01581334
-0.78385164	0.01482666
-0.78353164	0.01383913
-0.78321165	0.01260536
-0.78289165	0.01161868
-0.78257165	0.01038491
-0.78225165	0.00939737
-0.78193165	0.00816360
-0.78161165	0.00692983
-0.78129165	0.00212348
-0.78097165	0.00470938
-0.78065165	0.00347560
-0.78033165	0.00224183
-0.78001165	0.00125429
-0.77969165	-0.00022572
-0.77937165	-0.00145950
-0.77905165	-0.00269327
-0.77873165	-0.00392704
-0.77841165	-0.00516082
-0.77809165	-0.00614750
-0.77777165	-0.00713503
-0.77745165	-0.00836880
-0.77713165	-0.00960258
-0.77681165	-0.01058925
-0.77649165	-0.01157679
-0.77617165	-0.01256346
-0.77585165	-0.01355014
-0.77553165	-0.01453767
-0.77521165	-0.01527811
-0.77489165	-0.01626479
-0.77457165	-0.01700522
-0.77425165	-0.01774566
-0.77393165	-0.01848609
-0.77361165	-0.01897943
-0.77329165	-0.01971987
-0.77297165	-0.02021320
-0.77265165	-0.02070654
-0.77233165	-0.02119988
-0.77201165	-0.02144698
-0.77169165	-0.02169407
-0.77137165	-0.02218741
-0.77105165	-0.02243366
-0.77073165	-0.02243366
-0.77041165	-0.02268075
-0.77009165	-0.02243366
-0.76977165	-0.02243366
-0.76945165	-0.02218741
-0.76913165	-0.02218741
-0.76881165	-0.02194032
-0.76849165	-0.02169407
-0.76817165	-0.02119988
-0.76785165	-0.02095364
-0.76753165	-0.02046030
-0.76721165	-0.01996611
-0.76689165	-0.01947277
-0.76657165	-0.01873233
-0.76625165	-0.01823899
-0.76593165	-0.00625221
-0.76561165	-0.01651188
-0.76529165	-0.01577145
-0.76497165	-0.01478477
-0.76465165	-0.01404433
-0.76433165	-0.01305680
-0.76401165	-0.01207012
-0.76369165	-0.01083635
-0.76337165	-0.00984882
-0.76305165	-0.00886214
-0.76273165	-0.00762837
-0.76241165	-0.00664083
-0.76209165	-0.00565416
-0.76177165	-0.00442038
-0.76145165	-0.00318661
-0.76113165	-0.00195284
-0.76081165	-0.00071906
-0.76049165	0.00051471
-0.76017165	0.00062443
-0.75985165	0.00298141
-0.75953165	0.00421518
-0.75921165	0.00520271
-0.75889165	0.00668358
-0.75857165	0.00767026
-0.75825165	0.00890404
-0.75793165	0.01013781
-0.75761165	0.01112449
-0.75729165	0.01235912
-0.75697165	0.01334579
-0.75665165	0.00520926
-0.75633165	0.01556624
-0.75601165	0.01655378
-0.75569165	0.01754045
-0.75537165	0.01828089
-0.75505165	0.01926842
-0.75473165	0.02000800
-0.75441165	0.02074844
-0.75409165	0.02148887
-0.75377165	0.02222931
-0.75345165	0.02272265
-0.75313165	0.02346308
-0.75281165	0.02395642
-0.75249165	0.02444976
-0.75217165	0.00882415
-0.75185165	0.02494395
-0.75153165	0.02543729
-0.75121165	0.02568353
-0.75089165	0.02568353
-0.75057165	0.02593063
-0.75025165	0.02568353
-0.74993165	0.02593063
-0.74961165	0.02568353
-0.74929165	0.02568353
-0.74897165	0.02543729
-0.74865165	0.02519020
-0.74833165	0.02494395
-0.74801165	0.02469686
-0.74769165	0.02420352
-0.74737165	0.02371018
-0.74705165	0.02296975
-0.74673165	0.02247641
-0.74641165	0.02173597
-0.74609165	0.02099553
-0.74577165	0.02025510
-0.74545165	0.00697256
-0.74513165	0.01852799
-0.74481165	0.01778755
-0.74449165	0.01680087
-0.74417165	0.01581334
-0.74385165	0.01482666
-0.74353165	0.01383913
-0.74321165	0.01285245
-0.74289165	0.01161868
-0.74257165	0.00371051
-0.74225165	0.00915113
-0.74193165	0.00816360
-0.74161165	0.00256430
-0.74129165	0.00594315
-0.74097165	0.00470938
-0.74065165	0.00347560
-0.74033165	0.00224183
-0.74001165	0.00100805
-0.73969165	-0.00022572
-0.73937165	-0.00145950
-0.73905165	-0.00269327
-0.73873165	-0.00392704
-0.73841165	-0.00175567
-0.73809165	-0.00228478
-0.73777165	-0.00738127
-0.73745165	-0.00299016
-0.73713165	-0.00960258
-0.73681165	-0.01058925
-0.73649165	-0.01157679
-0.73617165	-0.01281056
-0.73585165	-0.01355014
-0.73553165	-0.01453767
-0.73521165	-0.01552435
-0.73489165	-0.01626479
-0.73457165	-0.01700522
-0.73425165	-0.01774566
-0.73393165	-0.01848609
-0.73361165	-0.01897943
-0.73329165	-0.00704588
-0.73297165	-0.02021320
-0.73265165	-0.02070654
-0.73233165	-0.02119988
-0.73201165	-0.02169407
-0.73169165	-0.02194032
-0.73137165	-0.02194032
-0.73105165	-0.02243366
-0.73073165	-0.02243366
-0.73041165	-0.02243366
-0.73009165	-0.02268075
-0.72977165	-0.00801551
-0.72945165	-0.02243366
-0.72913165	-0.02218741
-0.72881165	-0.02194032
-0.72849165	-0.02169407
-0.72817165	-0.02144698
-0.72785165	-0.02095364
-0.72753165	-0.02046030
-0.72721165	-0.00713386
-0.72689165	-0.01947277
-0.72657165	-0.01873233
-0.72625165	-0.01823899
-0.72593165	-0.01725232
-0.72561165	-0.01651188
-0.72529165	-0.01577145
-0.72497165	-0.01478477
-0.72465165	-0.00492973
-0.72433165	-0.01305680
-0.72401165	-0.01207012
-0.72369165	-0.01083635
-0.72337165	-0.01009591
-0.72305165	-0.00886214
-0.72273165	-0.00762837
-0.72241165	-0.00664083
-0.72209165	-0.00565416
-0.72177165	-0.00417329
-0.72145165	-0.00293951
-0.72113165	-0.00195284
-0.72081165	-0.00071906
-0.72049165	0.00051471
-0.72017165	0.00174763
-0.71985165	0.00097727
-0.71953165	0.00421518
-0.71921165	0.00544896
-0.71889165	0.00668358
-0.71857165	0.00791736
-0.71825165	0.00318140
-0.71793165	0.01013781
-0.71761165	0.00397476
-0.71729165	0.00450388
-0.71697165	0.01334579
-0.71665165	0.01433247
-0.71633165	0.00547381
-0.71601165	0.01655378
-0.71569165	0.01729421
-0.71537165	0.01828089
-0.71505165	0.01926842
-0.71473165	0.02000800
-0.71441165	0.02074844
-0.71409165	0.02148887
-0.71377165	0.02222931
-0.71345165	0.02272265
-0.71313165	0.02346308
-0.71281165	0.02395642
-0.71249165	0.00873586
-0.71217165	0.02469686
-0.71185165	0.02519020
-0.71153165	0.02543729
-0.71121165	0.02568353
-0.71089165	0.00917669
-0.71057165	0.02568353
-0.71025165	0.02593063
-0.70993165	0.02593063
-0.70961165	0.02568353
-0.70929165	0.02568353
-0.70897165	0.02543729
-0.70865165	0.00900042
-0.70833165	0.00891244
-0.70801165	0.02444976
-0.70769165	0.02420352
-0.70737165	0.02371018
-0.70705165	0.00820706
-0.70673165	0.02247641
-0.70641165	0.02173597
-0.70609165	0.02099553
-0.70577165	0.02025510
-0.70545165	0.01951467
-0.70513165	0.01877423
-0.70481165	0.01778755
-0.70449165	0.01680087
-0.70417165	0.01581334
-0.70385165	0.01507291
-0.70353165	0.01383913
-0.70321165	0.00459216
-0.70289165	0.01161868
-0.70257165	0.01063115
-0.70225165	0.00939737
-0.70193165	0.00816360
-0.70161165	0.00717692
-0.70129165	0.00594315
-0.70097165	0.00470938
-0.70065165	0.00347560
-0.70033165	0.00224183
-0.70001165	0.00100805
-0.69969165	-0.00008065
-0.69937165	-0.00145950
-0.69905165	-0.00269327
-0.69873165	-0.00392704
-0.69841165	-0.00516082
-0.69809165	-0.00614750
-0.69777165	-0.00738127
-0.69745165	-0.00836880
-0.69713165	-0.00960258
-0.69681165	-0.01058925
-0.69649165	-0.01157679
-0.69617165	-0.01281056
-0.69585165	-0.01355014
-0.69553165	-0.01453767
-0.69521165	-0.01527811
-0.69489165	-0.01626479
-0.69457165	-0.01700522
-0.69425165	-0.01774566
-0.69393165	-0.01848609
-0.69361165	-0.01897943
-0.69329165	-0.00695759
-0.69297165	-0.02021320
-0.69265165	-0.02070654
-0.69233165	-0.02119988
-0.69201165	-0.00775126
-0.69169165	-0.02194032
-0.69137165	-0.02218741
-0.69105165	-0.02243366
-0.69073165	-0.00801551
-0.69041165	-0.02243366
-0.69009165	-0.02243366
-0.68977165	-0.02268075
-0.68945165	-0.02218741
-0.68913165	-0.02218741
-0.68881165	-0.02194032
-0.68849165	-0.02169407
-0.68817165	-0.00766297
-0.68785165	-0.02095364
-0.68753165	-0.00731043
-0.68721165	-0.01971987
-0.68689165	-0.00695759
-0.68657165	-0.01873233
-0.68625165	-0.01799190
-0.68593165	-0.01749856
-0.68561165	-0.01651188
-0.68529165	-0.01577145
-0.68497165	-0.01503101
-0.68465165	-0.01404433
-0.68433165	-0.01305680
-0.68401165	-0.01207012
-0.68369165	-0.01108259
-0.68337165	-0.00984882
-0.68305165	-0.00886214
-0.68273165	-0.00762837
-0.68241165	-0.00664083
-0.68209165	-0.00540706
-0.68177165	-0.00442038
-0.68145165	-0.00318661
-0.68113165	-0.00170574
-0.68081165	-0.00071906
-0.68049165	0.00051471
-0.68017165	0.00062443
-0.67985165	0.00298141
-0.67953165	0.00421518
-0.67921165	0.00544896
-0.67889165	0.00229975
-0.67857165	0.00767026
-0.67825165	0.00890404
-0.67793165	0.00989071
-0.67761165	0.01112449
-0.67729165	0.01235912
-0.67697165	0.01334579
-0.67665165	0.01433247
-0.67633165	0.01556624
-0.67601165	0.01655378
-0.67569165	0.01729421
-0.67537165	0.01828089
-0.67505165	0.01902133
-0.67473165	0.02000800
-0.67441165	0.02074844
-0.67409165	0.00767794
-0.67377165	0.02222931
-0.67345165	0.02272265
-0.67313165	0.00838332
-0.67281165	0.02371018
-0.67249165	0.02444976
-0.67217165	0.02469686
-0.67185165	0.00891244
-0.67153165	0.02543729
-0.67121165	0.02543729
-0.67089165	0.02568353
-0.67057165	0.00926498
-0.67025165	0.02593063
-0.66993165	0.00926498
-0.66961165	0.02568353
-0.66929165	0.02568353
